session,type,entry,sl,tp,date,profit_loss
Tokyo,Buy,2065.32,2062.17,2068.4700000000003,2024-01-02 06:15:00,3.150000000000091
London,Buy,2074.93,2072.15,2077.7099999999996,2024-01-02 14:35:00,2.7799999999997453
New York,Buy,2069.35,2064.76,2073.9399999999996,2024-01-02 19:00:00,4.589999999999691
London,Sell,2058.41,2064.43,2052.39,2024-01-03 14:40:00,6.019999999999982
New York,Sell,2039.82,2048.1,2031.54,2024-01-03 19:15:00,8.279999999999973
Tokyo,Sell,2041.78,2043.15,2040.4099999999999,2024-01-04 06:20:00,1.3700000000001182
London,Sell,2045.56,2048.72,2042.4,2024-01-04 14:05:00,3.1599999999998545
New York,Sell,2041.83,2047.37,2036.29,2024-01-04 19:00:00,5.539999999999964
Tokyo,Buy,2044.33,2043.26,2045.3999999999999,2024-01-05 06:05:00,1.0699999999999363
New York,Sell,2029.1,2041.86,2016.34,2024-01-05 19:00:00,12.759999999999991
Tokyo,Buy,2045.98,2043.71,2048.25,2024-01-08 06:00:00,2.269999999999982
London,Sell,2027.39,2031.83,2022.9500000000003,2024-01-08 14:20:00,4.439999999999827
New York,Sell,2019.82,2025.5,2014.1399999999999,2024-01-08 19:05:00,5.680000000000064
Tokyo,Buy,2034.89,2030.54,2039.2400000000002,2024-01-09 06:30:00,4.350000000000136
New York,Buy,2038.55,2031.55,2045.55,2024-01-09 19:05:00,7.0
Tokyo,Sell,2029.78,2031.16,2028.3999999999999,2024-01-10 06:30:00,1.3800000000001091
New York,Sell,2029.65,2034.09,2025.2100000000003,2024-01-10 19:40:00,4.439999999999827
Tokyo,Buy,2028.0,2026.46,2029.54,2024-01-11 06:20:00,1.5399999999999636
London,Sell,2031.43,2034.15,2028.71,2024-01-11 14:15:00,2.7200000000000273
New York,Sell,2030.49,2039.71,2021.27,2024-01-11 19:05:00,9.220000000000027
Tokyo,Sell,2030.42,2035.38,2025.46,2024-01-12 06:10:00,4.960000000000036
London,Sell,2037.35,2039.81,2034.8899999999999,2024-01-12 14:15:00,2.4600000000000364
New York,Buy,2052.18,2044.27,2060.0899999999997,2024-01-12 19:00:00,7.9099999999998545
Tokyo,Buy,2048.32,2045.68,2050.96,2024-01-15 06:00:00,2.6399999999998727
London,Buy,2057.89,2053.71,2062.0699999999997,2024-01-15 14:10:00,4.179999999999836
New York,Buy,2054.33,2052.32,2056.3399999999997,2024-01-15 19:25:00,2.0099999999997635
Tokyo,Sell,2051.93,2054.5,2049.3599999999997,2024-01-16 06:00:00,2.5700000000001637
London,Sell,2045.43,2050.09,2040.77,2024-01-16 14:00:00,4.660000000000082
New York,Buy,2040.67,2031.22,2050.12,2024-01-16 19:05:00,9.449999999999818
